,Year,Value,Total,month
0,1880-01-01,-0.05,2.75,January
1,1880-02-01,-0.14,3.06,February
2,1880-03-01,-0.09,4.91,March
3,1880-04-01,-0.05,8.049999999999999,April
4,1880-05-01,-0.09,11.01,May
5,1880-06-01,-0.12,13.180000000000001,June
6,1880-07-01,-0.13,14.17,July
7,1880-08-01,-0.06,13.74,August
8,1880-09-01,-0.11,11.89,September
9,1880-10-01,-0.23,9.07,October
10,1880-11-01,-0.24,5.66,November
11,1880-12-01,-0.1,3.6,December
12,1881-01-01,-0.08,2.7199999999999998,January
13,1881-02-01,-0.06,3.14,February
14,1881-03-01,0.05,5.05,March
15,1881-04-01,0.07,8.17,April
16,1881-05-01,0.03,11.129999999999999,May
17,1881-06-01,-0.12,13.180000000000001,June
18,1881-07-01,-0.07,14.23,July
19,1881-08-01,-0.06,13.74,August
20,1881-09-01,-0.17,11.83,September
21,1881-10-01,-0.3,9.0,October
22,1881-11-01,-0.27,5.630000000000001,November
23,1881-12-01,-0.03,3.6700000000000004,December
24,1882-01-01,0.09,2.8899999999999997,January
25,1882-02-01,0.02,3.22,February
26,1882-03-01,-0.01,4.99,March
27,1882-04-01,-0.14,7.96,April
28,1882-05-01,-0.14,10.959999999999999,May
29,1882-06-01,-0.14,13.16,June
30,1882-07-01,-0.12,14.180000000000001,July
31,1882-08-01,-0.08,13.72,August
32,1882-09-01,-0.1,11.9,September
33,1882-10-01,-0.23,9.07,October
34,1882-11-01,-0.15,5.75,November
35,1882-12-01,-0.16,3.54,December
36,1883-01-01,-0.27,2.53,January
37,1883-02-01,-0.35,2.85,February
38,1883-03-01,-0.18,4.82,March
39,1883-04-01,-0.2,7.8999999999999995,April
40,1883-05-01,-0.16,10.94,May
41,1883-06-01,0.0,13.3,June
42,1883-07-01,-0.11,14.190000000000001,July
43,1883-08-01,-0.11,13.690000000000001,August
44,1883-09-01,-0.18,11.82,September
45,1883-10-01,-0.22,9.08,October
46,1883-11-01,-0.24,5.66,November
47,1883-12-01,-0.14,3.56,December
48,1884-01-01,-0.23,2.57,January
49,1884-02-01,-0.18,3.02,February
50,1884-03-01,-0.28,4.72,March
51,1884-04-01,-0.27,7.83,April
52,1884-05-01,-0.22,10.879999999999999,May
53,1884-06-01,-0.26,13.040000000000001,June
54,1884-07-01,-0.32,13.98,July
55,1884-08-01,-0.28,13.520000000000001,August
56,1884-09-01,-0.28,11.72,September
57,1884-10-01,-0.27,9.030000000000001,October
58,1884-11-01,-0.34,5.5600000000000005,November
59,1884-12-01,-0.24,3.46,December
60,1885-01-01,-0.45,2.3499999999999996,January
61,1885-02-01,-0.3,2.9000000000000004,February
62,1885-03-01,-0.25,4.75,March
63,1885-04-01,-0.28,7.819999999999999,April
64,1885-05-01,-0.3,10.799999999999999,May
65,1885-06-01,-0.31,12.99,June
66,1885-07-01,-0.26,14.040000000000001,July
67,1885-08-01,-0.29,13.510000000000002,August
68,1885-09-01,-0.26,11.74,September
69,1885-10-01,-0.2,9.100000000000001,October
70,1885-11-01,-0.14,5.760000000000001,November
71,1885-12-01,0.01,3.71,December
72,1886-01-01,-0.18,2.6199999999999997,January
73,1886-02-01,-0.32,2.8800000000000003,February
74,1886-03-01,-0.29,4.71,March
75,1886-04-01,-0.19,7.909999999999999,April
76,1886-05-01,-0.19,10.91,May
77,1886-06-01,-0.25,13.05,June
78,1886-07-01,-0.2,14.100000000000001,July
79,1886-08-01,-0.27,13.530000000000001,August
80,1886-09-01,-0.27,11.73,September
81,1886-10-01,-0.32,8.98,October
82,1886-11-01,-0.28,5.62,November
83,1886-12-01,-0.17,3.5300000000000002,December
84,1887-01-01,-0.52,2.28,January
85,1887-02-01,-0.47,2.7300000000000004,February
86,1887-03-01,-0.22,4.78,March
87,1887-04-01,-0.26,7.84,April
88,1887-05-01,-0.25,10.85,May
89,1887-06-01,-0.25,13.05,June
90,1887-07-01,-0.24,14.06,July
91,1887-08-01,-0.32,13.48,August
92,1887-09-01,-0.23,11.77,September
93,1887-10-01,-0.32,8.98,October
94,1887-11-01,-0.19,5.71,November
95,1887-12-01,-0.17,3.5300000000000002,December
96,1888-01-01,-0.32,2.48,January
97,1888-02-01,-0.28,2.92,February
98,1888-03-01,-0.29,4.71,March
99,1888-04-01,-0.12,7.9799999999999995,April
100,1888-05-01,-0.15,10.95,May
101,1888-06-01,-0.11,13.190000000000001,June
102,1888-07-01,-0.11,14.190000000000001,July
103,1888-08-01,-0.17,13.63,August
104,1888-09-01,-0.1,11.9,September
105,1888-10-01,0.03,9.33,October
106,1888-11-01,-0.04,5.86,November
107,1888-12-01,0.07,3.77,December
108,1889-01-01,-0.02,2.78,January
109,1889-02-01,0.04,3.24,February
110,1889-03-01,0.14,5.14,March
111,1889-04-01,0.09,8.19,April
112,1889-05-01,-0.02,11.08,May
113,1889-06-01,-0.08,13.22,June
114,1889-07-01,-0.12,14.180000000000001,July
115,1889-08-01,-0.15,13.65,August
116,1889-09-01,-0.23,11.77,September
117,1889-10-01,-0.24,9.06,October
118,1889-11-01,-0.28,5.62,November
119,1889-12-01,-0.15,3.5500000000000003,December
120,1890-01-01,-0.33,2.4699999999999998,January
121,1890-02-01,-0.34,2.8600000000000003,February
122,1890-03-01,-0.32,4.68,March
123,1890-04-01,-0.27,7.83,April
124,1890-05-01,-0.39,10.709999999999999,May
125,1890-06-01,-0.3,13.0,June
126,1890-07-01,-0.28,14.020000000000001,July
127,1890-08-01,-0.39,13.41,August
128,1890-09-01,-0.42,11.58,September
129,1890-10-01,-0.35,8.950000000000001,October
130,1890-11-01,-0.44,5.46,November
131,1890-12-01,-0.28,3.42,December
132,1891-01-01,-0.38,2.42,January
133,1891-02-01,-0.54,2.66,February
134,1891-03-01,-0.23,4.77,March
135,1891-04-01,-0.25,7.85,April
136,1891-05-01,-0.17,10.93,May
137,1891-06-01,-0.19,13.110000000000001,June
138,1891-07-01,-0.18,14.120000000000001,July
139,1891-08-01,-0.21,13.59,August
140,1891-09-01,-0.15,11.85,September
141,1891-10-01,-0.29,9.010000000000002,October
142,1891-11-01,-0.39,5.510000000000001,November
143,1891-12-01,-0.06,3.64,December
144,1892-01-01,-0.23,2.57,January
145,1892-02-01,-0.12,3.08,February
146,1892-03-01,-0.25,4.75,March
147,1892-04-01,-0.33,7.77,April
148,1892-05-01,-0.27,10.83,May
149,1892-06-01,-0.3,13.0,June
150,1892-07-01,-0.38,13.92,July
151,1892-08-01,-0.34,13.46,August
152,1892-09-01,-0.22,11.78,September
153,1892-10-01,-0.28,9.020000000000001,October
154,1892-11-01,-0.47,5.430000000000001,November
155,1892-12-01,-0.44,3.2600000000000002,December
156,1893-01-01,-0.71,2.09,January
157,1893-02-01,-0.62,2.58,February
158,1893-03-01,-0.23,4.77,March
159,1893-04-01,-0.35,7.75,April
160,1893-05-01,-0.32,10.78,May
161,1893-06-01,-0.27,13.030000000000001,June
162,1893-07-01,-0.21,14.09,July
163,1893-08-01,-0.31,13.49,August
164,1893-09-01,-0.24,11.76,September
165,1893-10-01,-0.25,9.05,October
166,1893-11-01,-0.19,5.71,November
167,1893-12-01,-0.24,3.46,December
168,1894-01-01,-0.41,2.3899999999999997,January
169,1894-02-01,-0.24,2.96,February
170,1894-03-01,-0.27,4.73,March
171,1894-04-01,-0.38,7.72,April
172,1894-05-01,-0.34,10.76,May
173,1894-06-01,-0.37,12.930000000000001,June
174,1894-07-01,-0.29,14.010000000000002,July
175,1894-08-01,-0.29,13.510000000000002,August
176,1894-09-01,-0.26,11.74,September
177,1894-10-01,-0.29,9.010000000000002,October
178,1894-11-01,-0.34,5.5600000000000005,November
179,1894-12-01,-0.24,3.46,December
180,1895-01-01,-0.42,2.38,January
181,1895-02-01,-0.39,2.81,February
182,1895-03-01,-0.32,4.68,March
183,1895-04-01,-0.19,7.909999999999999,April
184,1895-05-01,-0.27,10.83,May
185,1895-06-01,-0.28,13.020000000000001,June
186,1895-07-01,-0.21,14.09,July
187,1895-08-01,-0.24,13.56,August
188,1895-09-01,-0.17,11.83,September
189,1895-10-01,-0.11,9.190000000000001,October
190,1895-11-01,-0.17,5.73,November
191,1895-12-01,-0.12,3.58,December
192,1896-01-01,-0.15,2.65,January
193,1896-02-01,-0.11,3.0900000000000003,February
194,1896-03-01,-0.22,4.78,March
195,1896-04-01,-0.24,7.859999999999999,April
196,1896-05-01,-0.13,10.969999999999999,May
197,1896-06-01,-0.09,13.21,June
198,1896-07-01,-0.04,14.260000000000002,July
199,1896-08-01,-0.04,13.760000000000002,August
200,1896-09-01,-0.04,11.96,September
201,1896-10-01,0.01,9.31,October
202,1896-11-01,-0.15,5.75,November
203,1896-12-01,0.07,3.77,December
204,1897-01-01,-0.13,2.67,January
205,1897-02-01,-0.1,3.1,February
206,1897-03-01,-0.12,4.88,March
207,1897-04-01,0.05,8.15,April
208,1897-05-01,0.0,11.1,May
209,1897-06-01,-0.08,13.22,June
210,1897-07-01,-0.02,14.280000000000001,July
211,1897-08-01,-0.09,13.71,August
212,1897-09-01,-0.05,11.95,September
213,1897-10-01,-0.17,9.13,October
214,1897-11-01,-0.25,5.65,November
215,1897-12-01,-0.24,3.46,December
216,1898-01-01,0.0,2.8,January
217,1898-02-01,-0.28,2.92,February
218,1898-03-01,-0.65,4.35,March
219,1898-04-01,-0.37,7.7299999999999995,April
220,1898-05-01,-0.28,10.82,May
221,1898-06-01,-0.19,13.110000000000001,June
222,1898-07-01,-0.22,14.08,July
223,1898-08-01,-0.24,13.56,August
224,1898-09-01,-0.22,11.78,September
225,1898-10-01,-0.38,8.92,October
226,1898-11-01,-0.3,5.6000000000000005,November
227,1898-12-01,-0.1,3.6,December
228,1899-01-01,-0.13,2.67,January
229,1899-02-01,-0.33,2.87,February
230,1899-03-01,-0.32,4.68,March
231,1899-04-01,-0.19,7.909999999999999,April
232,1899-05-01,-0.18,10.92,May
233,1899-06-01,-0.27,13.030000000000001,June
234,1899-07-01,-0.17,14.13,July
235,1899-08-01,-0.1,13.700000000000001,August
236,1899-09-01,-0.04,11.96,September
237,1899-10-01,-0.09,9.21,October
238,1899-11-01,0.11,6.010000000000001,November
239,1899-12-01,-0.19,3.5100000000000002,December
240,1900-01-01,-0.32,2.48,January
241,1900-02-01,-0.07,3.1300000000000003,February
242,1900-03-01,-0.04,4.96,March
243,1900-04-01,-0.09,8.01,April
244,1900-05-01,-0.06,11.04,May
245,1900-06-01,-0.04,13.260000000000002,June
246,1900-07-01,-0.1,14.200000000000001,July
247,1900-08-01,-0.07,13.73,August
248,1900-09-01,-0.06,11.94,September
249,1900-10-01,0.07,9.370000000000001,October
250,1900-11-01,-0.13,5.7700000000000005,November
251,1900-12-01,0.02,3.72,December
252,1901-01-01,-0.13,2.67,January
253,1901-02-01,-0.08,3.12,February
254,1901-03-01,-0.03,4.97,March
255,1901-04-01,-0.05,8.049999999999999,April
256,1901-05-01,-0.11,10.99,May
257,1901-06-01,-0.08,13.22,June
258,1901-07-01,-0.13,14.17,July
259,1901-08-01,-0.18,13.620000000000001,August
260,1901-09-01,-0.25,11.75,September
261,1901-10-01,-0.33,8.97,October
262,1901-11-01,-0.2,5.7,November
263,1901-12-01,-0.27,3.43,December
264,1902-01-01,-0.11,2.69,January
265,1902-02-01,-0.05,3.1500000000000004,February
266,1902-03-01,-0.22,4.78,March
267,1902-04-01,-0.27,7.83,April
268,1902-05-01,-0.29,10.81,May
269,1902-06-01,-0.3,13.0,June
270,1902-07-01,-0.27,14.030000000000001,July
271,1902-08-01,-0.29,13.510000000000002,August
272,1902-09-01,-0.28,11.72,September
273,1902-10-01,-0.31,8.99,October
274,1902-11-01,-0.34,5.5600000000000005,November
275,1902-12-01,-0.37,3.33,December
276,1903-01-01,-0.24,2.5599999999999996,January
277,1903-02-01,-0.09,3.1100000000000003,February
278,1903-03-01,-0.25,4.75,March
279,1903-04-01,-0.36,7.739999999999999,April
280,1903-05-01,-0.41,10.69,May
281,1903-06-01,-0.38,12.92,June
282,1903-07-01,-0.39,13.91,July
283,1903-08-01,-0.44,13.360000000000001,August
284,1903-09-01,-0.46,11.54,September
285,1903-10-01,-0.51,8.790000000000001,October
286,1903-11-01,-0.48,5.42,November
287,1903-12-01,-0.47,3.2300000000000004,December
288,1904-01-01,-0.6,2.1999999999999997,January
289,1904-02-01,-0.57,2.6300000000000003,February
290,1904-03-01,-0.57,4.43,March
291,1904-04-01,-0.5,7.6,April
292,1904-05-01,-0.46,10.639999999999999,May
293,1904-06-01,-0.45,12.850000000000001,June
294,1904-07-01,-0.49,13.81,July
295,1904-08-01,-0.44,13.360000000000001,August
296,1904-09-01,-0.48,11.52,September
297,1904-10-01,-0.43,8.870000000000001,October
298,1904-11-01,-0.16,5.74,November
299,1904-12-01,-0.3,3.4000000000000004,December
300,1905-01-01,-0.36,2.44,January
301,1905-02-01,-0.62,2.58,February
302,1905-03-01,-0.39,4.61,March
303,1905-04-01,-0.4,7.699999999999999,April
304,1905-05-01,-0.26,10.84,May
305,1905-06-01,-0.24,13.06,June
306,1905-07-01,-0.22,14.08,July
307,1905-08-01,-0.2,13.600000000000001,August
308,1905-09-01,-0.21,11.79,September
309,1905-10-01,-0.25,9.05,October
310,1905-11-01,-0.08,5.82,November
311,1905-12-01,-0.09,3.6100000000000003,December
312,1906-01-01,-0.14,2.6599999999999997,January
313,1906-02-01,-0.24,2.96,February
314,1906-03-01,-0.18,4.82,March
315,1906-04-01,-0.07,8.03,April
316,1906-05-01,-0.23,10.87,May
317,1906-06-01,-0.15,13.15,June
318,1906-07-01,-0.21,14.09,July
319,1906-08-01,-0.24,13.56,August
320,1906-09-01,-0.28,11.72,September
321,1906-10-01,-0.29,9.010000000000002,October
322,1906-11-01,-0.34,5.5600000000000005,November
323,1906-12-01,-0.15,3.5500000000000003,December
324,1907-01-01,-0.37,2.4299999999999997,January
325,1907-02-01,-0.48,2.72,February
326,1907-03-01,-0.32,4.68,March
327,1907-04-01,-0.37,7.7299999999999995,April
328,1907-05-01,-0.47,10.629999999999999,May
329,1907-06-01,-0.38,12.92,June
330,1907-07-01,-0.34,13.96,July
331,1907-08-01,-0.32,13.48,August
332,1907-09-01,-0.36,11.64,September
333,1907-10-01,-0.3,9.0,October
334,1907-11-01,-0.48,5.42,November
335,1907-12-01,-0.43,3.27,December
336,1908-01-01,-0.38,2.42,January
337,1908-02-01,-0.37,2.83,February
338,1908-03-01,-0.58,4.42,March
339,1908-04-01,-0.45,7.6499999999999995,April
340,1908-05-01,-0.39,10.709999999999999,May
341,1908-06-01,-0.38,12.92,June
342,1908-07-01,-0.37,13.930000000000001,July
343,1908-08-01,-0.46,13.34,August
344,1908-09-01,-0.37,11.63,September
345,1908-10-01,-0.5,8.8,October
346,1908-11-01,-0.5,5.4,November
347,1908-12-01,-0.42,3.2800000000000002,December
348,1909-01-01,-0.58,2.2199999999999998,January
349,1909-02-01,-0.46,2.74,February
350,1909-03-01,-0.5,4.5,March
351,1909-04-01,-0.61,7.489999999999999,April
352,1909-05-01,-0.49,10.61,May
353,1909-06-01,-0.46,12.84,June
354,1909-07-01,-0.46,13.84,July
355,1909-08-01,-0.33,13.47,August
356,1909-09-01,-0.34,11.66,September
357,1909-10-01,-0.36,8.940000000000001,October
358,1909-11-01,-0.28,5.62,November
359,1909-12-01,-0.42,3.2800000000000002,December
360,1910-01-01,-0.36,2.44,January
361,1910-02-01,-0.41,2.79,February
362,1910-03-01,-0.51,4.49,March
363,1910-04-01,-0.38,7.72,April
364,1910-05-01,-0.31,10.79,May
365,1910-06-01,-0.34,12.96,June
366,1910-07-01,-0.32,13.98,July
367,1910-08-01,-0.35,13.450000000000001,August
368,1910-09-01,-0.37,11.63,September
369,1910-10-01,-0.44,8.860000000000001,October
370,1910-11-01,-0.49,5.41,November
371,1910-12-01,-0.58,3.12,December
372,1911-01-01,-0.55,2.25,January
373,1911-02-01,-0.57,2.6300000000000003,February
374,1911-03-01,-0.59,4.41,March
375,1911-04-01,-0.54,7.56,April
376,1911-05-01,-0.53,10.57,May
377,1911-06-01,-0.48,12.82,June
378,1911-07-01,-0.47,13.83,July
379,1911-08-01,-0.44,13.360000000000001,August
380,1911-09-01,-0.4,11.6,September
381,1911-10-01,-0.32,8.98,October
382,1911-11-01,-0.24,5.66,November
383,1911-12-01,-0.2,3.5,December
384,1912-01-01,-0.28,2.5199999999999996,January
385,1912-02-01,-0.13,3.0700000000000003,February
386,1912-03-01,-0.32,4.68,March
387,1912-04-01,-0.2,7.8999999999999995,April
388,1912-05-01,-0.2,10.9,May
389,1912-06-01,-0.22,13.08,June
390,1912-07-01,-0.35,13.950000000000001,July
391,1912-08-01,-0.46,13.34,August
392,1912-09-01,-0.54,11.46,September
393,1912-10-01,-0.54,8.760000000000002,October
394,1912-11-01,-0.42,5.48,November
395,1912-12-01,-0.4,3.3000000000000003,December
396,1913-01-01,-0.35,2.4499999999999997,January
397,1913-02-01,-0.41,2.79,February
398,1913-03-01,-0.46,4.54,March
399,1913-04-01,-0.38,7.72,April
400,1913-05-01,-0.4,10.7,May
401,1913-06-01,-0.38,12.92,June
402,1913-07-01,-0.31,13.99,July
403,1913-08-01,-0.29,13.510000000000002,August
404,1913-09-01,-0.34,11.66,September
405,1913-10-01,-0.31,8.99,October
406,1913-11-01,-0.16,5.74,November
407,1913-12-01,-0.04,3.66,December
408,1914-01-01,0.11,2.9099999999999997,January
409,1914-02-01,-0.11,3.0900000000000003,February
410,1914-03-01,-0.18,4.82,March
411,1914-04-01,-0.25,7.85,April
412,1914-05-01,-0.15,10.95,May
413,1914-06-01,-0.19,13.110000000000001,June
414,1914-07-01,-0.22,14.08,July
415,1914-08-01,-0.21,13.59,August
416,1914-09-01,-0.21,11.79,September
417,1914-10-01,-0.11,9.190000000000001,October
418,1914-11-01,-0.1,5.800000000000001,November
419,1914-12-01,-0.09,3.6100000000000003,December
420,1915-01-01,-0.15,2.65,January
421,1915-02-01,0.0,3.2,February
422,1915-03-01,-0.09,4.91,March
423,1915-04-01,0.03,8.129999999999999,April
424,1915-05-01,-0.06,11.04,May
425,1915-06-01,-0.14,13.16,June
426,1915-07-01,-0.07,14.23,July
427,1915-08-01,-0.12,13.680000000000001,August
428,1915-09-01,-0.17,11.83,September
429,1915-10-01,-0.24,9.06,October
430,1915-11-01,-0.03,5.87,November
431,1915-12-01,-0.11,3.5900000000000003,December
432,1916-01-01,-0.13,2.67,January
433,1916-02-01,-0.17,3.0300000000000002,February
434,1916-03-01,-0.28,4.72,March
435,1916-04-01,-0.26,7.84,April
436,1916-05-01,-0.32,10.78,May
437,1916-06-01,-0.4,12.9,June
438,1916-07-01,-0.33,13.97,July
439,1916-08-01,-0.32,13.48,August
440,1916-09-01,-0.33,11.67,September
441,1916-10-01,-0.28,9.020000000000001,October
442,1916-11-01,-0.44,5.46,November
443,1916-12-01,-0.63,3.0700000000000003,December
444,1917-01-01,-0.53,2.2699999999999996,January
445,1917-02-01,-0.57,2.6300000000000003,February
446,1917-03-01,-0.63,4.37,March
447,1917-04-01,-0.47,7.63,April
448,1917-05-01,-0.57,10.53,May
449,1917-06-01,-0.39,12.91,June
450,1917-07-01,-0.2,14.100000000000001,July
451,1917-08-01,-0.17,13.63,August
452,1917-09-01,-0.11,11.89,September
453,1917-10-01,-0.33,8.97,October
454,1917-11-01,-0.22,5.680000000000001,November
455,1917-12-01,-0.55,3.1500000000000004,December
456,1918-01-01,-0.33,2.4699999999999998,January
457,1918-02-01,-0.38,2.8200000000000003,February
458,1918-03-01,-0.32,4.68,March
459,1918-04-01,-0.44,7.659999999999999,April
460,1918-05-01,-0.46,10.639999999999999,May
461,1918-06-01,-0.35,12.950000000000001,June
462,1918-07-01,-0.3,14.0,July
463,1918-08-01,-0.31,13.49,August
464,1918-09-01,-0.2,11.8,September
465,1918-10-01,-0.12,9.180000000000001,October
466,1918-11-01,-0.12,5.78,November
467,1918-12-01,-0.35,3.35,December
468,1919-01-01,-0.24,2.5599999999999996,January
469,1919-02-01,-0.12,3.08,February
470,1919-03-01,-0.24,4.76,March
471,1919-04-01,-0.06,8.04,April
472,1919-05-01,-0.26,10.84,May
473,1919-06-01,-0.28,13.020000000000001,June
474,1919-07-01,-0.25,14.05,July
475,1919-08-01,-0.3,13.5,August
476,1919-09-01,-0.23,11.77,September
477,1919-10-01,-0.24,9.06,October
478,1919-11-01,-0.4,5.5,November
479,1919-12-01,-0.4,3.3000000000000003,December
480,1920-01-01,-0.21,2.59,January
481,1920-02-01,-0.33,2.87,February
482,1920-03-01,-0.09,4.91,March
483,1920-04-01,-0.2,7.8999999999999995,April
484,1920-05-01,-0.17,10.93,May
485,1920-06-01,-0.25,13.05,June
486,1920-07-01,-0.24,14.06,July
487,1920-08-01,-0.24,13.56,August
488,1920-09-01,-0.18,11.82,September
489,1920-10-01,-0.23,9.07,October
490,1920-11-01,-0.23,5.67,November
491,1920-12-01,-0.43,3.27,December
492,1921-01-01,-0.09,2.71,January
493,1921-02-01,-0.18,3.02,February
494,1921-03-01,-0.26,4.74,March
495,1921-04-01,-0.21,7.89,April
496,1921-05-01,-0.23,10.87,May
497,1921-06-01,-0.17,13.13,June
498,1921-07-01,-0.13,14.17,July
499,1921-08-01,-0.22,13.58,August
500,1921-09-01,-0.14,11.86,September
501,1921-10-01,-0.06,9.24,October
502,1921-11-01,-0.17,5.73,November
503,1921-12-01,-0.1,3.6,December
504,1922-01-01,-0.31,2.4899999999999998,January
505,1922-02-01,-0.31,2.89,February
506,1922-03-01,-0.11,4.89,March
507,1922-04-01,-0.16,7.9399999999999995,April
508,1922-05-01,-0.3,10.799999999999999,May
509,1922-06-01,-0.27,13.030000000000001,June
510,1922-07-01,-0.25,14.05,July
511,1922-08-01,-0.3,13.5,August
512,1922-09-01,-0.32,11.68,September
513,1922-10-01,-0.27,9.030000000000001,October
514,1922-11-01,-0.15,5.75,November
515,1922-12-01,-0.2,3.5,December
516,1923-01-01,-0.24,2.5599999999999996,January
517,1923-02-01,-0.42,2.7800000000000002,February
518,1923-03-01,-0.33,4.67,March
519,1923-04-01,-0.38,7.72,April
520,1923-05-01,-0.27,10.83,May
521,1923-06-01,-0.23,13.07,June
522,1923-07-01,-0.3,14.0,July
523,1923-08-01,-0.33,13.47,August
524,1923-09-01,-0.28,11.72,September
525,1923-10-01,-0.18,9.120000000000001,October
526,1923-11-01,-0.02,5.880000000000001,November
527,1923-12-01,-0.01,3.6900000000000004,December
528,1924-01-01,-0.22,2.5799999999999996,January
529,1924-02-01,-0.18,3.02,February
530,1924-03-01,-0.08,4.92,March
531,1924-04-01,-0.22,7.88,April
532,1924-05-01,-0.15,10.95,May
533,1924-06-01,-0.2,13.100000000000001,June
534,1924-07-01,-0.23,14.07,July
535,1924-08-01,-0.31,13.49,August
536,1924-09-01,-0.29,11.71,September
537,1924-10-01,-0.3,9.0,October
538,1924-11-01,-0.28,5.62,November
539,1924-12-01,-0.41,3.29,December
540,1925-01-01,-0.4,2.4,January
541,1925-02-01,-0.38,2.8200000000000003,February
542,1925-03-01,-0.23,4.77,March
543,1925-04-01,-0.17,7.93,April
544,1925-05-01,-0.21,10.889999999999999,May
545,1925-06-01,-0.23,13.07,June
546,1925-07-01,-0.2,14.100000000000001,July
547,1925-08-01,-0.15,13.65,August
548,1925-09-01,-0.13,11.87,September
549,1925-10-01,-0.16,9.14,October
550,1925-11-01,0.05,5.95,November
551,1925-12-01,0.12,3.8200000000000003,December
552,1926-01-01,0.13,2.9299999999999997,January
553,1926-02-01,0.04,3.24,February
554,1926-03-01,0.06,5.06,March
555,1926-04-01,-0.13,7.97,April
556,1926-05-01,-0.12,10.98,May
557,1926-06-01,-0.1,13.200000000000001,June
558,1926-07-01,-0.18,14.120000000000001,July
559,1926-08-01,-0.09,13.71,August
560,1926-09-01,-0.1,11.9,September
561,1926-10-01,-0.07,9.23,October
562,1926-11-01,-0.07,5.83,November
563,1926-12-01,-0.21,3.49,December
564,1927-01-01,-0.23,2.57,January
565,1927-02-01,-0.19,3.0100000000000002,February
566,1927-03-01,-0.3,4.7,March
567,1927-04-01,-0.25,7.85,April
568,1927-05-01,-0.21,10.889999999999999,May
569,1927-06-01,-0.19,13.110000000000001,June
570,1927-07-01,-0.13,14.17,July
571,1927-08-01,-0.15,13.65,August
572,1927-09-01,-0.07,11.93,September
573,1927-10-01,0.01,9.31,October
574,1927-11-01,-0.04,5.86,November
575,1927-12-01,-0.28,3.42,December
576,1928-01-01,-0.07,2.73,January
577,1928-02-01,-0.15,3.0500000000000003,February
578,1928-03-01,-0.25,4.75,March
579,1928-04-01,-0.24,7.859999999999999,April
580,1928-05-01,-0.2,10.9,May
581,1928-06-01,-0.27,13.030000000000001,June
582,1928-07-01,-0.16,14.14,July
583,1928-08-01,-0.2,13.600000000000001,August
584,1928-09-01,-0.17,11.83,September
585,1928-10-01,-0.16,9.14,October
586,1928-11-01,-0.09,5.8100000000000005,November
587,1928-12-01,-0.17,3.5300000000000002,December
588,1929-01-01,-0.49,2.3099999999999996,January
589,1929-02-01,-0.56,2.64,February
590,1929-03-01,-0.3,4.7,March
591,1929-04-01,-0.33,7.77,April
592,1929-05-01,-0.31,10.79,May
593,1929-06-01,-0.34,12.96,June
594,1929-07-01,-0.32,13.98,July
595,1929-08-01,-0.24,13.56,August
596,1929-09-01,-0.22,11.78,September
597,1929-10-01,-0.14,9.16,October
598,1929-11-01,-0.11,5.79,November
599,1929-12-01,-0.53,3.17,December
600,1930-01-01,-0.34,2.46,January
601,1930-02-01,-0.23,2.97,February
602,1930-03-01,-0.08,4.92,March
603,1930-04-01,-0.2,7.8999999999999995,April
604,1930-05-01,-0.18,10.92,May
605,1930-06-01,-0.13,13.17,June
606,1930-07-01,-0.09,14.21,July
607,1930-08-01,-0.09,13.71,August
608,1930-09-01,-0.09,11.91,September
609,1930-10-01,-0.02,9.280000000000001,October
610,1930-11-01,0.16,6.0600000000000005,November
611,1930-12-01,0.01,3.71,December
612,1931-01-01,-0.03,2.77,January
613,1931-02-01,-0.21,2.99,February
614,1931-03-01,-0.01,4.99,March
615,1931-04-01,-0.13,7.97,April
616,1931-05-01,-0.14,10.959999999999999,May
617,1931-06-01,-0.02,13.280000000000001,June
618,1931-07-01,-0.01,14.290000000000001,July
619,1931-08-01,0.01,13.81,August
620,1931-09-01,0.01,12.01,September
621,1931-10-01,0.04,9.34,October
622,1931-11-01,-0.12,5.78,November
623,1931-12-01,-0.08,3.62,December
624,1932-01-01,0.15,2.9499999999999997,January
625,1932-02-01,-0.17,3.0300000000000002,February
626,1932-03-01,-0.19,4.81,March
627,1932-04-01,-0.03,8.07,April
628,1932-05-01,-0.16,10.94,May
629,1932-06-01,-0.18,13.120000000000001,June
630,1932-07-01,-0.15,14.15,July
631,1932-08-01,-0.19,13.610000000000001,August
632,1932-09-01,-0.08,11.92,September
633,1932-10-01,-0.09,9.21,October
634,1932-11-01,-0.21,5.69,November
635,1932-12-01,-0.22,3.48,December
636,1933-01-01,-0.28,2.5199999999999996,January
637,1933-02-01,-0.32,2.8800000000000003,February
638,1933-03-01,-0.27,4.73,March
639,1933-04-01,-0.21,7.89,April
640,1933-05-01,-0.23,10.87,May
641,1933-06-01,-0.25,13.05,June
642,1933-07-01,-0.2,14.100000000000001,July
643,1933-08-01,-0.21,13.59,August
644,1933-09-01,-0.25,11.75,September
645,1933-10-01,-0.2,9.100000000000001,October
646,1933-11-01,-0.24,5.66,November
647,1933-12-01,-0.4,3.3000000000000003,December
648,1934-01-01,-0.29,2.51,January
649,1934-02-01,-0.08,3.12,February
650,1934-03-01,-0.32,4.68,March
651,1934-04-01,-0.27,7.83,April
652,1934-05-01,-0.06,11.04,May
653,1934-06-01,-0.03,13.270000000000001,June
654,1934-07-01,-0.07,14.23,July
655,1934-08-01,-0.04,13.760000000000002,August
